Quater,State,Net Interstate Migration,Net Overseas Migration,Number of change
1/12/1997,Western Australia,727,2355,3082
1/03/1998,Australian Capital Territory,-477,360,-117
1/03/1998,New South Wales,-2425,12292,9867
1/03/1998,Northern Territory,-203,191,-12
1/03/1998,Queensland,2925,4901,7826
1/03/1998,South Australia,-283,1382,1099
1/03/1998,Tasmania,-952,88,-864
1/03/1998,Victoria,117,9464,9581
1/03/1998,Western Australia,1312,5019,6331
1/06/1998,Australian Capital Territory,-35,-276,-311
1/06/1998,New South Wales,-3125,3661,536
1/06/1998,Northern Territory,-68,109,41
1/06/1998,Queensland,4230,1642,5872
1/06/1998,South Australia,-502,207,-295
1/06/1998,Tasmania,-1026,-38,-1064
1/06/1998,Victoria,26,1573,1599
1/06/1998,Western Australia,512,1598,2110
1/09/1998,Australian Capital Territory,-427,-161,-588
1/09/1998,New South Wales,-2663,11777,9114
1/09/1998,Northern Territory,-54,167,113
1/09/1998,Queensland,3638,3479,7117
1/09/1998,South Australia,-144,209,65
1/09/1998,Tasmania,-750,120,-630
1/09/1998,Victoria,-427,6753,6326
1/09/1998,Western Australia,838,4190,5028
1/12/1998,Australian Capital Territory,-353,44,-309
1/12/1998,New South Wales,-3750,7498,3748
1/12/1998,Northern Territory,-363,374,11
1/12/1998,Queensland,4640,2460,7100
1/12/1998,South Australia,-552,1330,778
1/12/1998,Tasmania,-1007,343,-664
1/12/1998,Victoria,1678,5758,7436
1/12/1998,Western Australia,-281,2271,1990
1/03/1999,Australian Capital Territory,54,239,293
1/03/1999,New South Wales,-2909,13771,10862
1/03/1999,Northern Territory,-174,218,44
1/03/1999,Queensland,3682,5535,9217
1/03/1999,South Australia,-381,1000,619
1/03/1999,Tasmania,-862,-98,-960
1/03/1999,Victoria,526,9803,10329
1/03/1999,Western Australia,77,4634,4711
1/06/1999,Australian Capital Territory,220,-347,-127
1/06/1999,New South Wales,-3728,8042,4314
1/06/1999,Northern Territory,-362,247,-115
1/06/1999,Queensland,4722,2236,6958
1/06/1999,South Australia,-554,143,-411
1/06/1999,Tasmania,-698,-194,-892
1/06/1999,Victoria,750,2377,3127
1/06/1999,Western Australia,-338,2286,1948
1/09/1999,Australian Capital Territory,-26,-115,-141
1/09/1999,New South Wales,-2970,11258,8288
1/09/1999,Northern Territory,-364,429,65
1/09/1999,Queensland,4057,3903,7960
1/09/1999,South Australia,-326,1018,692
1/09/1999,Tasmania,-600,179,-421
1/09/1999,Victoria,689,7544,8233
1/09/1999,Western Australia,-448,5502,5054
1/12/1999,Australian Capital Territory,130,-264,-134
1/12/1999,New South Wales,-4295,10763,6468
1/12/1999,Northern Territory,83,173,256
1/12/1999,Queensland,4572,5497,10069
1/12/1999,South Australia,-943,1528,585
1/12/1999,Tasmania,-686,228,-458
1/12/1999,Victoria,1918,5122,7040
1/12/1999,Western Australia,-767,1570,803
1/03/2000,Australian Capital Territory,189,304,493
1/03/2000,New South Wales,-3580,14023,10443
1/03/2000,Northern Territory,-472,178,-294
1/03/2000,Queensland,5133,5258,10391
1/03/2000,South Australia,-1425,1213,-212
1/03/2000,Tasmania,-687,84,-603
1/03/2000,Victoria,1529,11255,12784
1/03/2000,Western Australia,-674,5113,4439
1/06/2000,Australian Capital Territory,-384,-24,-408
1/06/2000,New South Wales,-3429,7645,4216
1/06/2000,Northern Territory,-154,162,8
1/06/2000,Queensland,4691,2856,7547
1/06/2000,South Australia,-837,70,-767
1/06/2000,Tasmania,-659,-56,-715
1/06/2000,Victoria,1083,3061,4144
1/06/2000,Western Australia,-298,1808,1510
1/09/2000,Australian Capital Territory,-145,204,59
1/09/2000,New South Wales,-3427,13329,9902
1/09/2000,Northern Territory,-374,279,-95
1/09/2000,Queensland,4653,4421,9074
1/09/2000,South Australia,-618,877,259
1/09/2000,Tasmania,-649,-48,-697
1/09/2000,Victoria,1226,8744,9970
1/09/2000,Western Australia,-660,4098,3438
1/12/2000,Australian Capital Territory,122,-133,-11
1/12/2000,New South Wales,-4272,12348,8076
1/12/2000,Northern Territory,-621,81,-540
1/12/2000,Queensland,5890,3382,9272
1/12/2000,South Australia,-789,566,-223
1/12/2000,Tasmania,-538,12,-526
1/12/2000,Victoria,1082,6403,7485
1/12/2000,Western Australia,-869,3946,3077
1/03/2001,Australian Capital Territory,158,611,769
1/03/2001,New South Wales,-4182,22036,17854
1/03/2001,Northern Territory,-374,240,-134
